WSM
F3OF
DT2
HEAVE
t(s)	HEAVE(m)
0.00000	-9.00000
0.10000	-9.00007
0.20000	-9.00027
0.30000	-9.00053
0.40000	-9.00076
0.50000	-9.00085
0.60000	-9.00077
0.70000	-9.00054
0.80000	-9.00021
0.90000	-8.99981
1.00000	-8.99935
1.10000	-8.99880
1.20000	-8.99813
1.30000	-8.99730
1.40000	-8.99630
1.50000	-8.99514
1.60000	-8.99381
1.70000	-8.99234
1.80000	-8.99075
1.90000	-8.98903
2.00000	-8.98721
2.10000	-8.98530
2.20000	-8.98333
2.30000	-8.98131
2.40000	-8.97928
2.50000	-8.97726
2.60000	-8.97528
2.70000	-8.97336
2.80000	-8.97152
2.90000	-8.96979
3.00000	-8.96817
3.10000	-8.96670
3.20000	-8.96537
3.30000	-8.96420
3.40000	-8.96319
3.50000	-8.96235
3.60000	-8.96167
3.70000	-8.96116
3.80000	-8.96080
3.90000	-8.96059
4.00000	-8.96051
4.10000	-8.96056
4.20000	-8.96072
4.30000	-8.96098
4.40000	-8.96132
4.50000	-8.96173
4.60000	-8.96220
4.70000	-8.96271
4.80000	-8.96326
4.90000	-8.96384
5.00000	-8.96443
5.10000	-8.96505
5.20000	-8.96568
5.30000	-8.96633
5.40000	-8.96700
5.50000	-8.96771
5.60000	-8.96845
5.70000	-8.96924
5.80000	-8.97008
5.90000	-8.97100
6.00000	-8.97199
6.10000	-8.97307
6.20000	-8.97424
6.30000	-8.97552
6.40000	-8.97691
6.50000	-8.97840
6.60000	-8.98000
6.70000	-8.98171
6.80000	-8.98351
6.90000	-8.98541
7.00000	-8.98738
7.10000	-8.98940
7.20000	-8.99148
7.30000	-8.99357
7.40000	-8.99566
7.50000	-8.99773
7.60000	-8.99975
7.70000	-9.00170
7.80000	-9.00356
7.90000	-9.00530
8.00000	-9.00689
8.10000	-9.00832
8.20000	-9.00958
8.30000	-9.01064
8.40000	-9.01149
8.50000	-9.01214
8.60000	-9.01257
8.70000	-9.01278
8.80000	-9.01278
8.90000	-9.01257
9.00000	-9.01217
9.10000	-9.01159
9.20000	-9.01083
9.30000	-9.00992
9.40000	-9.00886
9.50000	-9.00769
9.60000	-9.00640
9.70000	-9.00503
9.80000	-9.00358
9.90000	-9.00207
10.00000	-9.00051
10.10000	-8.99892
10.20000	-8.99729
10.30000	-8.99565
10.40000	-8.99400
10.50000	-8.99234
10.60000	-8.99068
10.70000	-8.98901
10.80000	-8.98734
10.90000	-8.98568
11.00000	-8.98400
11.10000	-8.98233
11.20000	-8.98066
11.30000	-8.97898
11.40000	-8.97730
11.50000	-8.97562
11.60000	-8.97394
11.70000	-8.97228
11.80000	-8.97064
11.90000	-8.96902
12.00000	-8.96746
12.10000	-8.96595
12.20000	-8.96451
12.30000	-8.96317
12.40000	-8.96194
12.50000	-8.96083
12.60000	-8.95987
12.70000	-8.95907
12.80000	-8.95845
12.90000	-8.95802
13.00000	-8.95778
13.10000	-8.95776
13.20000	-8.95794
13.30000	-8.95834
13.40000	-8.95894
13.50000	-8.95976
13.60000	-8.96077
13.70000	-8.96196
13.80000	-8.96332
13.90000	-8.96484
14.00000	-8.96650
14.10000	-8.96827
14.20000	-8.97013
14.30000	-8.97207
14.40000	-8.97406
14.50000	-8.97607
14.60000	-8.97810
14.70000	-8.98011
14.80000	-8.98209
14.90000	-8.98403
15.00000	-8.98591
15.10000	-8.98772
15.20000	-8.98945
15.30000	-8.99111
15.40000	-8.99269
15.50000	-8.99418
15.60000	-8.99560
15.70000	-8.99695
15.80000	-8.99823
15.90000	-8.99945
16.00000	-9.00061
16.10000	-9.00172
16.20000	-9.00279
16.30000	-9.00381
16.40000	-9.00480
16.50000	-9.00575
16.60000	-9.00667
16.70000	-9.00754
16.80000	-9.00837
16.90000	-9.00914
17.00000	-9.00986
17.10000	-9.01051
17.20000	-9.01108
17.30000	-9.01155
17.40000	-9.01193
17.50000	-9.01218
17.60000	-9.01231
17.70000	-9.01230
17.80000	-9.01215
17.90000	-9.01183
18.00000	-9.01135
18.10000	-9.01070
18.20000	-9.00988
18.30000	-9.00889
18.40000	-9.00773
18.50000	-9.00641
18.60000	-9.00494
18.70000	-9.00333
18.80000	-9.00160
18.90000	-8.99977
19.00000	-8.99784
19.10000	-8.99585
19.20000	-8.99381
19.30000	-8.99175
19.40000	-8.98969
19.50000	-8.98765
19.60000	-8.98564
19.70000	-8.98369
19.80000	-8.98182
19.90000	-8.98003
20.00000	-8.97835
20.10000	-8.97679
20.20000	-8.97534
20.30000	-8.97403
20.40000	-8.97284
20.50000	-8.97179
20.60000	-8.97088
20.70000	-8.97009
20.80000	-8.96943
20.90000	-8.96888
21.00000	-8.96845
21.10000	-8.96813
21.20000	-8.96791
21.30000	-8.96778
21.40000	-8.96773
21.50000	-8.96776
21.60000	-8.96787
21.70000	-8.96804
21.80000	-8.96828
21.90000	-8.96859
22.00000	-8.96896
22.10000	-8.96941
22.20000	-8.96992
22.30000	-8.97050
22.40000	-8.97117
22.50000	-8.97191
22.60000	-8.97275
22.70000	-8.97367
22.80000	-8.97468
22.90000	-8.97578
23.00000	-8.97698
23.10000	-8.97826
23.20000	-8.97964
23.30000	-8.98109
23.40000	-8.98263
23.50000	-8.98422
23.60000	-8.98588
23.70000	-8.98757
23.80000	-8.98930
23.90000	-8.99104
24.00000	-8.99279
24.10000	-8.99451
24.20000	-8.99620
24.30000	-8.99785
24.40000	-8.99942
24.50000	-9.00092
24.60000	-9.00232
24.70000	-9.00362
24.80000	-9.00479
24.90000	-9.00585
25.00000	-9.00677
25.10000	-9.00755
25.20000	-9.00820
25.30000	-9.00872
25.40000	-9.00910
25.50000	-9.00936
25.60000	-9.00950
25.70000	-9.00953
25.80000	-9.00945
25.90000	-9.00929
26.00000	-9.00905
26.10000	-9.00875
26.20000	-9.00838
26.30000	-9.00797
26.40000	-9.00751
26.50000	-9.00702
26.60000	-9.00651
26.70000	-9.00597
26.80000	-9.00542
26.90000	-9.00484
27.00000	-9.00424
27.10000	-9.00362
27.20000	-9.00298
27.30000	-9.00230
27.40000	-9.00159
27.50000	-9.00085
27.60000	-9.00005
27.70000	-8.99921
27.80000	-8.99831
27.90000	-8.99735
28.00000	-8.99634
28.10000	-8.99525
28.20000	-8.99411
28.30000	-8.99291
28.40000	-8.99165
28.50000	-8.99034
28.60000	-8.98899
28.70000	-8.98761
28.80000	-8.98621
28.90000	-8.98480
29.00000	-8.98340
29.10000	-8.98202
29.20000	-8.98067
29.30000	-8.97938
29.40000	-8.97815
29.50000	-8.97699
29.60000	-8.97593
29.70000	-8.97497
29.80000	-8.97412
29.90000	-8.97339
30.00000	-8.97278
30.10000	-8.97230
30.20000	-8.97196
30.30000	-8.97174
30.40000	-8.97165
30.50000	-8.97169
30.60000	-8.97185
30.70000	-8.97212
30.80000	-8.97250
30.90000	-8.97297
31.00000	-8.97353
31.10000	-8.97417
31.20000	-8.97489
31.30000	-8.97566
31.40000	-8.97648
31.50000	-8.97735
31.60000	-8.97825
31.70000	-8.97919
31.80000	-8.98015
31.90000	-8.98114
32.00000	-8.98215
32.10000	-8.98319
32.20000	-8.98425
32.30000	-8.98533
32.40000	-8.98643
32.50000	-8.98756
32.60000	-8.98872
32.70000	-8.98991
32.80000	-8.99113
32.90000	-8.99237
33.00000	-8.99365
33.10000	-8.99495
33.20000	-8.99627
33.30000	-8.99761
33.40000	-8.99897
33.50000	-9.00032
33.60000	-9.00167
33.70000	-9.00301
33.80000	-9.00431
33.90000	-9.00558
34.00000	-9.00680
34.10000	-9.00796
34.20000	-9.00904
34.30000	-9.01004
34.40000	-9.01093
34.50000	-9.01171
34.60000	-9.01238
34.70000	-9.01291
34.80000	-9.01331
34.90000	-9.01357
35.00000	-9.01369
35.10000	-9.01366
35.20000	-9.01349
35.30000	-9.01318
35.40000	-9.01274
35.50000	-9.01217
35.60000	-9.01148
35.70000	-9.01067
35.80000	-9.00977
35.90000	-9.00878
36.00000	-9.00770
36.10000	-9.00656
36.20000	-9.00537
36.30000	-9.00413
36.40000	-9.00285
36.50000	-9.00155
36.60000	-9.00024
36.70000	-8.99891
36.80000	-8.99757
36.90000	-8.99624
37.00000	-8.99492
37.10000	-8.99360
37.20000	-8.99229
37.30000	-8.99100
37.40000	-8.98972
37.50000	-8.98845
37.60000	-8.98719
37.70000	-8.98595
37.80000	-8.98473
37.90000	-8.98352
38.00000	-8.98234
38.10000	-8.98117
38.20000	-8.98004
38.30000	-8.97893
38.40000	-8.97786
38.50000	-8.97684
38.60000	-8.97587
38.70000	-8.97496
38.80000	-8.97412
38.90000	-8.97337
39.00000	-8.97270
39.10000	-8.97214
39.20000	-8.97169
39.30000	-8.97136
39.40000	-8.97116
39.50000	-8.97110
39.60000	-8.97118
39.70000	-8.97141
39.80000	-8.97178
39.90000	-8.97230
40.00000	-8.97297
40.10000	-8.97378
40.20000	-8.97473
40.30000	-8.97581
40.40000	-8.97702
40.50000	-8.97833
40.60000	-8.97975
40.70000	-8.98125
40.80000	-8.98283
40.90000	-8.98446
41.00000	-8.98614
41.10000	-8.98785
41.20000	-8.98957
41.30000	-8.99130
41.40000	-8.99301
41.50000	-8.99470
41.60000	-8.99635
41.70000	-8.99796
41.80000	-8.99952
41.90000	-9.00101
42.00000	-9.00244
42.10000	-9.00380
42.20000	-9.00508
42.30000	-9.00629
42.40000	-9.00742
42.50000	-9.00848
42.60000	-9.00945
42.70000	-9.01035
42.80000	-9.01116
42.90000	-9.01190
43.00000	-9.01256
43.10000	-9.01314
43.20000	-9.01364
43.30000	-9.01405
43.40000	-9.01438
43.50000	-9.01462
43.60000	-9.01477
43.70000	-9.01483
43.80000	-9.01479
43.90000	-9.01466
44.00000	-9.01441
44.10000	-9.01406
44.20000	-9.01360
44.30000	-9.01303
44.40000	-9.01234
44.50000	-9.01154
44.60000	-9.01062
44.70000	-9.00960
44.80000	-9.00846
44.90000	-9.00723
45.00000	-9.00590
45.10000	-9.00448
45.20000	-9.00299
45.30000	-9.00143
45.40000	-8.99981
45.50000	-8.99815
45.60000	-8.99647
45.70000	-8.99477
45.80000	-8.99307
45.90000	-8.99139
46.00000	-8.98973
46.10000	-8.98812
46.20000	-8.98657
46.30000	-8.98508
46.40000	-8.98368
46.50000	-8.98236
46.60000	-8.98113
46.70000	-8.98001
46.80000	-8.97899
46.90000	-8.97809
47.00000	-8.97730
47.10000	-8.97662
47.20000	-8.97606
47.30000	-8.97560
47.40000	-8.97525
47.50000	-8.97501
47.60000	-8.97487
47.70000	-8.97483
47.80000	-8.97488
47.90000	-8.97501
48.00000	-8.97523
48.10000	-8.97552
48.20000	-8.97589
48.30000	-8.97633
48.40000	-8.97684
48.50000	-8.97742
48.60000	-8.97806
48.70000	-8.97876
48.80000	-8.97953
48.90000	-8.98035
49.00000	-8.98124
49.10000	-8.98219
49.20000	-8.98321
49.30000	-8.98428
49.40000	-8.98541
49.50000	-8.98659
49.60000	-8.98783
49.70000	-8.98912
49.80000	-8.99045
49.90000	-8.99182
50.00000	-8.99323
50.10000	-8.99465
50.20000	-8.99609
50.30000	-8.99754
50.40000	-8.99898
50.50000	-9.00041
50.60000	-9.00182
50.70000	-9.00318
50.80000	-9.00450
50.90000	-9.00576
51.00000	-9.00695
51.10000	-9.00806
51.20000	-9.00908
51.30000	-9.01001
51.40000	-9.01084
51.50000	-9.01156
51.60000	-9.01217
51.70000	-9.01266
51.80000	-9.01304
51.90000	-9.01331
52.00000	-9.01347
52.10000	-9.01351
52.20000	-9.01345
52.30000	-9.01330
52.40000	-9.01304
52.50000	-9.01270
52.60000	-9.01228
52.70000	-9.01178
52.80000	-9.01122
52.90000	-9.01060
53.00000	-9.00992
53.10000	-9.00919
53.20000	-9.00841
53.30000	-9.00760
53.40000	-9.00675
53.50000	-9.00587
53.60000	-9.00496
53.70000	-9.00402
53.80000	-9.00305
53.90000	-9.00206
54.00000	-9.00105
54.10000	-9.00001
54.20000	-8.99895
54.30000	-8.99787
54.40000	-8.99677
54.50000	-8.99566
54.60000	-8.99452
54.70000	-8.99338
54.80000	-8.99222
54.90000	-8.99106
55.00000	-8.98991
55.10000	-8.98876
55.20000	-8.98762
55.30000	-8.98651
55.40000	-8.98543
55.50000	-8.98439
55.60000	-8.98340
55.70000	-8.98246
55.80000	-8.98159
55.90000	-8.98079
56.00000	-8.98007
56.10000	-8.97943
56.20000	-8.97889
56.30000	-8.97845
56.40000	-8.97812
56.50000	-8.97788
56.60000	-8.97775
56.70000	-8.97773
56.80000	-8.97782
56.90000	-8.97801
57.00000	-8.97830
57.10000	-8.97868
57.20000	-8.97916
57.30000	-8.97972
57.40000	-8.98036
57.50000	-8.98107
57.60000	-8.98184
57.70000	-8.98268
57.80000	-8.98356
57.90000	-8.98449
58.00000	-8.98545
58.10000	-8.98645
58.20000	-8.98747
58.30000	-8.98851
58.40000	-8.98957
58.50000	-8.99064
58.60000	-8.99172
58.70000	-8.99281
58.80000	-8.99390
